gid,url,discount,content,nowprice,price
1,img/imglists/g (1).jpg,7.8,收纳博士太阳芭蕉压缩袋家庭装,279,359
2,img/imglists/g (2).jpg,7.9,Estee Lauder雅诗兰黛 眼部精华霜15m...,402,509
3,img/imglists/g (3).jpg,7.3,日本原装ichido纳豆激酶组合,388,529
4,img/imglists/g (4).jpg,7.1,一梦2018新款莫代尔提花四件套 【颜色尺寸可选】,248,349
5,img/imglists/g (5).jpg,7.1,德国爱乐仕品质锅具经典组,598,839
6,img/imglists/g (6).jpg,6.7,日本原装ichido纳豆激酶加赠组,2129,3159
7,img/imglists/g (7).jpg,7.2,歌丽姬宝居家美容定制组（离子导入仪*1+透明质酸原...,259,359
8,img/imglists/g (8).jpg,4.1,彭之道花草茶55g/罐 金银花茉莉花荷叶茶玫瑰花茶,12,29
9,img/imglists/g (9).jpg,3.8,国人美DHN藻油核桃油软胶囊30g/瓶【500mg...,83,216
10,img/imglists/g (10).jpg,6.7,新西兰·瑞琪奥兰 黄金奇异果蜂蜜水果蜜 500g/...,139,209
11,img/imglists/g (11).jpg,4.8,康农星鲜香玉芒肉厚核薄大芒果5斤,42,88
12,img/imglists/g (12).jpg,7.9,佰草集 新七白嫩肤4件套（面膜500g+菁华霜15...,268,339
13,img/imglists/g (13).jpg,7.3,五常稻花香大米0.5KG*3盒装,43,59
14,img/imglists/g (14).jpg,6.2,品粒品味新疆阿图什无花果200g*3袋,49,79
15,img/imglists/g (15).jpg,5.6,一农山间禾木 荞麦茶2罐（150g/罐）,33,59
16,img/imglists/g (16).jpg,7.4,珠蒂曼女士中腰生理内裤4条装1117,43.9,59
17,img/imglists/g (17).jpg,7.3,大红鹰2018春装新款条纹衬衫女长袖棉白色衬衣上衣...,102,139
18,img/imglists/g (18).jpg,1.7,芭法娜 S925银镶锆石 十二星座之金牛座耳钉 时...,65.9,398
19,img/imglists/g (19).jpg,7.3,华虹奢华重磅真丝套组,3480,4779
20,img/imglists/g (20).jpg,6.8,初心 长方形组合笔筒 枫木,204,299
21,img/imglists/g (21).jpg,7.5,华大复古油蜡二层牛皮优雅迷你简约单肩包6569-3...,112,149
22,img/imglists/g (22).jpg,5.7,美国·GNC健安喜 优骨力片 240粒/瓶,399,699
23,img/imglists/g (23).jpg,8.4,利快 Leifheit 可折叠熨衣板140*38c...,2521,2999
24,img/imglists/g (24).jpg,5.7,利快 Like·it 小号白色化妆盒文具存储盒 日...,169,299
25,img/imglists/g (25).jpg,4.9,利快 Leifheit 新直面地拖套装（直面地拖+...,1336,2699
26,img/imglists/g (26).jpg,7.7,缘喜金玉   超大子母扣翡翠吊坠/包包挂件（附证书...,269.9,349
